run_name,runtime_seconds,final_score,run_write_time,run_success,is_failure
feature_based_agent_20260421_040103,45.815892696380615,239.89141082763672,1776769263.105219,,0
feature_based_agent_20260421_041032,66.0658278465271,-3517.226837158203,1776769832.9863942,,1
feature_based_agent_20260421_140823,200.18869638442993,-3902.0392875671387,1776805703.191458,,1
feature_based_agent_20260421_141409,90.15568041801453,-2889.4931030273438,1776806049.4477868,,1
feature_based_agent_20260421_141753,97.38665342330933,-3382.5504417419434,1776806273.8482127,,1
feature_based_agent_20260421_142138,567.5862965583801,-2667.7716369628906,1776806498.4099083,,1
feature_based_agent_20260421_143323,112.11052298545837,-3202.908477783203,1776807203.6258483,,1
feature_based_agent_20260421_143808,653.1029858589172,8035.324042797089,1776807488.59128,,0
feature_based_agent_20260421_145023,279.99258160591125,-1626.4142093658447,1776808223.8246708,,1
feature_based_agent_20260421_145708,219.76804733276367,-2499.6060752868652,1776808628.8734381,,1
feature_based_agent_20260422_044138,125.96250867843628,-3410.5670623779297,1776858098.3645916,,1
feature_based_agent_20260422_044617,219.65137147903442,-2667.6567916870117,1776858377.5931737,,1
feature_based_agent_20260422_045202,80.78861212730408,-2721.2330169677734,1776858722.8063118,,1
feature_based_agent_20260422_045547,183.93369364738464,1163.485871553421,1776858947.7337508,,0
feature_based_agent_20260422_050132,592.0134785175323,876.3860473632812,1776859292.9845204,,0
feature_based_agent_20260422_051318,98.07138967514038,-2722.1999702453613,1776859998.2275126,,1
feature_based_agent_20260422_051703,119.42941498756409,-3635.3217010498047,1776860223.3798325,,1
feature_based_agent_20260422_052148,99.25097918510437,-2290.20516204834,1776860508.136053,,1
feature_based_agent_20260422_052533,88.60909700393677,-3168.0785522460938,1776860733.2915366,,1
feature_based_agent_20260422_052918,107.43676614761353,-3158.0015411376953,1776860958.3376195,,1
feature_based_agent_20260422_053403,158.52704524993896,-3585.2149753570557,1776861243.4279063,,1
feature_based_agent_20260422_053848,47.22073173522949,-3779.6981811523438,1776861528.475995,,1
feature_based_agent_20260422_054233,459.47087383270264,7367.594520568848,1776861753.6554346,,0
feature_based_agent_20260422_055218,98.05101132392883,-3280.2299575805664,1776862338.73413,,1
feature_based_agent_20260422_055603,81.92135739326477,-2597.446786880493,1776862563.8204193,,1
feature_based_agent_20260422_055948,111.10514521598816,-3258.4161224365234,1776862788.8615127,,1
feature_based_agent_20260422_060433,159.80758333206177,-2088.713134765625,1776863073.996317,,1
feature_based_agent_20260422_060919,399.7710671424866,2194.3124618530273,1776863359.1061485,,0
feature_based_agent_20260422_061804,136.04478526115417,-3644.5443000793457,1776863884.1793818,,1
feature_based_agent_20260422_062249,279.23064374923706,-235.03243255615234,1776864169.2679217,,1
feature_based_agent_20260422_062934,159.30091547966003,-786.0075035095215,1776864574.382339,,1
feature_based_agent_20260422_063419,219.84455823898315,-2397.5331420898438,1776864859.466474,,1
feature_based_agent_20260422_064004,98.77971887588501,-2684.2651405334473,1776865204.5036447,,1
feature_based_agent_20260422_064349,219.48440599441528,-2081.6348152160645,1776865429.6055796,,1
feature_based_agent_20260422_064934,579.6793880462646,4996.395782470703,1776865774.6323147,,0
feature_based_agent_20260422_070119,97.96902275085449,-3883.9012145996094,1776866479.8370388,,1
feature_based_agent_20260422_070504,399.71816968917847,2917.742290496826,1776866704.8237846,,0
feature_based_agent_20260422_071350,120.70487809181213,-3544.013717651367,1776867230.0031548,,1
feature_based_agent_20260422_071835,76.6480758190155,-2253.429718017578,1776867515.0457408,,1
feature_based_agent_20260422_072220,49.57991075515747,-3501.132278442383,1776867740.1415386,,1
feature_based_agent_20260422_072605,50.89319586753845,-3662.7013549804688,1776867965.1478584,,1
feature_based_agent_20260422_072950,116.02989959716797,-3277.0154571533203,1776868190.2890582,,1
feature_based_agent_20260422_073435,159.8638916015625,-3484.729808807373,1776868475.3895247,,1
feature_based_agent_20260422_073920,219.40221691131592,-2174.69002532959,1776868760.476033,,1
feature_based_agent_20260422_074505,90.17904877662659,-2983.7803115844727,1776869105.5334096,,1
feature_based_agent_20260422_074850,280.0259494781494,345.9200744628906,1776869330.611821,,0
feature_based_agent_20260422_075535,579.6166710853577,5098.590221405029,1776869735.6627324,,0
feature_based_agent_20260422_080720,99.04084134101868,-2875.8439178466797,1776870440.8139312,,1
feature_based_agent_20260422_081105,650.0257868766785,13023.619794845581,1776870665.8135693,,0
feature_based_agent_20260422_082321,399.99501967430115,874.7067794799805,1776871401.0047598,,0
feature_based_agent_20260422_083206,113.30702185630798,-3404.660125732422,1776871926.0943964,,1
feature_based_agent_20260422_083651,280.19874477386475,482.3973083496094,1776872211.2090502,,0
feature_based_agent_20260422_084336,339.713591337204,241.52490985393524,1776872616.2428806,,0
feature_based_agent_20260422_085121,278.9609613418579,-3445.3216590881348,1776873081.3911324,,1
